"COG ID","COG Name","COG Long Name","Counties"
"01","Panhandle","Panhandle Regional Planning Commission","Armstrong (48011), Briscoe (48045), Carson (48065), Castro (48069), Childress (48075), Collingsworth (48087), Dallam (48111), Deaf Smith (48117), Donley (48129), Gray (48179), Hall (48191), Hansford (48195), Hartley (48205), Hemphill (48211), Hutchinson (48233), Lipscomb (48295), Moore (48341), Ochiltree (48357), Oldham (48359), Parmer (48369), Potter (48375), Randall (48381), Roberts (48393), Sherman (48421), Swisher (48437), Wheeler (48483)"
"02","South Plains","South Plains Association of Governments","Bailey (48017), Cochran (48079), Crosby (48107), Dickens (48125), Floyd (48153), Garza (48169), Hale (48189), Hockley (48219), King (48269), Lamb (48279), Lubbock (48303), Lynn (48305), Motley (48345), Terry (48445), Yoakum (48501)"
"03","Nortex","Nortex Regional Planning Commission","Archer (48009), Baylor (48023), Clay (48077), Cottle (48101), Foard (48155), Hardeman (48197), Jack (48237), Montague (48337), Wichita (48485), Wilbarger (48487), Young (48503)"
"04","North Central Texas","North Central Texas Council of Governments","Collin (48085), Dallas (48113), Denton (48121), Ellis (48139), Erath (48143), Hood (48221), Hunt (48231), Johnson (48251), Kaufman (48257), Navarro (48349), Palo Pinto (48363), Parker (48367), Rockwall (48397), Somervell (48425), Tarrant (48439), Wise (48497)"
"05","Ark-Tex","Ark-Tex Council of Governments","Bowie (48037), Cass (48067), Delta (48119), Franklin (48159), Hopkins (48223), Lamar (48277), Morris (48343), Red River (48387), Titus (48449)"
"06","East Texas","East Texas Council of Governments","Anderson (48001), Camp (48063), Cherokee (48073), Gregg (48183), Harrison (48203), Henderson (48213), Marion (48315), Panola (48365), Rains (48379), Rusk (48401), Smith (48423), Upshur (48459), Van Zandt (48467), Wood (48499)"
"07","West Central Texas","West Central Texas Council of Governments","Brown (48049), Callahan (48059), Coleman (48083), Comanche (48093), Eastland (48133), Fisher (48151), Haskell (48207), Jones (48253), Kent (48263), Knox (48275), Mitchell (48335), Nolan (48353), Runnels (48399), Scurry (48415), Shackelford (48417), Stephens (48429), Stonewall (48433), Taylor (48441), Throckmorton (48447)"
"08","Rio Grande","Rio Grande Council of Governments","Brewster (48043), Culberson (48109), El Paso (48141), Hudspeth (48229), Jeff Davis (48243), Presidio (48377)"
"09","Permian Basin","Permian Basin Regional Planning Commission","Andrews (48003), Borden (48033), Crane (48103), Dawson (48115), Ector (48135), Gaines (48165), Glasscock (48173), Howard (48227), Loving (48301), Martin (48317), Midland (48329), Pecos (48371), Reeves (48389), Terrell (48443), Upton (48461), Ward (48475), Winkler (48495)"
"10","Concho Valley","Concho Valley Council of Governments","Coke (48081), Concho (48095), Crockett (48105), Irion (48235), Kimble (48267), Mason (48319), McCulloch (48307), Menard (48327), Reagan (48383), Schleicher (48413), Sterling (48431), Sutton (48435), Tom Green (48451)"
"11","Heart of Texas","Heart of Texas Council of Governments","Bosque (48035), Falls (48145), Freestone (48161), Hill (48217), Limestone (48293), McLennan (48309)"
"12","Capital Area","Capital Area Council of Governments","Bastrop (48021), Blanco (48031), Burnet (48053), Caldwell (48055), Fayette (48149), Hays (48209), Lee (48287), Llano (48299), Travis (48453), Williamson (48491)"
"13","Brazos Valley","Brazos Valley Council of Governments","Brazos (48041), Burleson (48051), Grimes (48185), Leon (48289), Madison (48313), Robertson (48395), Washington (48477)"
"14","Deep East Texas","Deep East Texas Council of Governments","Angelina (48005), Houston (48225), Jasper (48241), Nacogdoches (48347), Newton (48351), Polk (48373), Sabine (48403), San Augustine (48405), San Jacinto (48407), Shelby (48419), Trinity (48455), Tyler (48457)"
"15","South East Texas","South East Texas Regional Planning Commission","Hardin (48199), Jefferson (48245), Orange (48361)"
"16","Houston-Galveston","Houston-Galveston Area Council","Austin (48015), Brazoria (48039), Chambers (48071), Colorado (48089), Fort Bend (48157), Galveston (48167), Harris (48201), Liberty (48291), Matagorda (48321), Montgomery (48339), Walker (48471), Waller (48473), Wharton (48481)"
"17","Golden Crescent","Golden Crescent Regional Planning Commission","Calhoun (48057), DeWitt (48123), Goliad (48175), Gonzales (48177), Jackson (48239), Lavaca (48285), Victoria (48469)"
"18","Alamo Area","Alamo Area Council of Governments","Atascosa (48013), Bandera (48019), Bexar (48029), Comal (48091), Frio (48163), Gillespie (48171), Guadalupe (48187), Karnes (48255), Kendall (48259), Kerr (48265), McMullen (48311), Medina (48325), Wilson (48493)"
"19","South Texas","South Texas Development Council","Jim Hogg (48247), Starr (48427), Webb (48479), Zapata (48505)"
"20","Coastal Bend","Coastal Bend Council of Governments","Aransas (48007), Bee (48025), Brooks (48047), Duval (48131), Jim Wells (48249), Kenedy (48261), Kleberg (48273), Live Oak (48297), Nueces (48355), Refugio (48391), San Patricio (48409)"
"21","Lower Rio Grande Valley","Lower Rio Grande Valley Development Council","Cameron (48061), Hidalgo (48215), Willacy (48489)"
"22","Texoma","Texoma Council of Governments","Cooke (48097), Fannin (48147), Grayson (48181)"
"23","Central Texas","Central Texas Council of Governments","Bell (48027), Coryell (48099), Hamilton (48193), Lampasas (48281), Milam (48331), Mills (48333), San Saba (48411)"
"24","Middle Rio Grande","Middle Rio Grande Development Council","Dimmit (48127), Edwards (48137), Kinney (48271), La Salle (48283), Maverick (48323), Real (48385), Uvalde (48463), Val Verde (48465), Zavala (48507)"